transaction_id,timestamp,date_id,sender_bank_id,receiver_bank_id,payer_app,merchant_id,region_id,transaction_type,amount,device_type,status,failure_reason,hour_of_day,is_success,is_failed,merchant_category,zone
REAL0000195,2024-01-09 02:00:00,20240109,6,7,Paytm,5,5,P2P,16.58,POS,Success,Unknown,2,1,0,Food & Dining,South
REAL0000196,2024-01-09 03:00:00,20240109,4,7,BHIM,6,6,P2M,7.56,Mobile,Success,Unknown,3,1,0,Healthcare,West
REAL0000197,2024-01-09 04:00:00,20240109,5,4,Amazon Pay,7,7,P2P,10.34,Web,Success,Unknown,4,1,0,Education,North
REAL0000198,2024-01-09 05:00:00,20240109,6,2,MobiKwik,8,8,P2M,43.11,POS,Success,Unknown,5,1,0,Entertainment,South
REAL0000199,2024-01-09 06:00:00,20240109,6,1,PhonePe,9,9,P2P,13.0,Mobile,Success,Unknown,6,1,0,Transport,East
REAL0000200,2024-01-09 07:00:00,20240109,7,4,Google Pay,10,10,P2M,13.51,Web,Success,Unknown,7,1,0,Retail,Central
REAL0000201,2024-01-09 08:00:00,20240109,3,4,Paytm,1,1,P2P,18.71,POS,Success,Unknown,8,1,0,E-commerce,West
REAL0000202,2024-01-09 09:00:00,20240109,7,2,BHIM,2,2,P2M,12.74,Mobile,Failed,Bank Issue,9,0,1,Travel,North
REAL0000203,2024-01-09 10:00:00,20240109,5,3,Amazon Pay,3,3,P2P,13.0,Web,Success,Unknown,10,1,0,Groceries,South
REAL0000204,2024-01-09 11:00:00,20240109,10,1,MobiKwik,4,4,P2M,16.4,POS,Success,Unknown,11,1,0,Utilities,East
REAL0000205,2024-01-09 12:00:00,20240109,2,7,PhonePe,5,5,P2P,20.53,Mobile,Success,Unknown,12,1,0,Food & Dining,South
REAL0000206,2024-01-09 13:00:00,20240109,2,10,Google Pay,6,6,P2M,16.47,Web,Success,Unknown,13,1,0,Healthcare,West
REAL0000207,2024-01-09 14:00:00,20240109,5,7,Paytm,7,7,P2P,26.59,POS,Success,Unknown,14,1,0,Education,North
REAL0000208,2024-01-09 15:00:00,20240109,6,5,BHIM,8,8,P2M,38.73,Mobile,Success,Unknown,15,1,0,Entertainment,South
REAL0000209,2024-01-09 16:00:00,20240109,7,5,Amazon Pay,9,9,P2P,24.27,Web,Success,Unknown,16,1,0,Transport,East
REAL0000210,2024-01-09 17:00:00,20240109,5,4,MobiKwik,10,10,P2M,12.76,POS,Success,Unknown,17,1,0,Retail,Central
REAL0000211,2024-01-09 18:00:00,20240109,10,2,PhonePe,1,1,P2P,30.06,Mobile,Success,Unknown,18,1,0,E-commerce,West
REAL0000212,2024-01-09 19:00:00,20240109,5,6,Google Pay,2,2,P2M,25.89,Web,Success,Unknown,19,1,0,Travel,North
REAL0000213,2024-01-09 20:00:00,20240109,2,6,Paytm,3,3,P2P,48.33,POS,Success,Unknown,20,1,0,Groceries,South
REAL0000214,2024-01-09 21:00:00,20240109,2,1,BHIM,4,4,P2M,13.27,Mobile,Success,Unknown,21,1,0,Utilities,East
REAL0000215,2024-01-09 22:00:00,20240109,10,5,Amazon Pay,5,5,P2P,28.17,Web,Success,Unknown,22,1,0,Food & Dining,South
REAL0000216,2024-01-09 23:00:00,20240109,2,3,MobiKwik,6,6,P2M,12.9,POS,Success,Unknown,23,1,0,Healthcare,West
REAL0000217,2024-01-10 00:00:00,20240110,10,2,PhonePe,7,7,P2P,28.15,Mobile,Success,Unknown,0,1,0,Education,North
REAL0000218,2024-01-10 01:00:00,20240110,3,8,Google Pay,8,8,P2M,11.59,Web,Success,Unknown,1,1,0,Entertainment,South
REAL0000219,2024-01-10 02:00:00,20240110,1,6,Paytm,9,9,P2P,7.74,POS,Success,Unknown,2,1,0,Transport,East
REAL0000220,2024-01-10 03:00:00,20240110,4,7,BHIM,10,10,P2M,30.14,Mobile,Success,Unknown,3,1,0,Retail,Central
REAL0000221,2024-01-10 04:00:00,20240110,7,8,Amazon Pay,1,1,P2P,12.16,Web,Success,Unknown,4,1,0,E-commerce,West
REAL0000222,2024-01-10 05:00:00,20240110,5,10,MobiKwik,2,2,P2M,13.42,POS,Success,Unknown,5,1,0,Travel,North
REAL0000223,2024-01-10 06:00:00,20240110,8,9,PhonePe,3,3,P2P,8.58,Mobile,Success,Unknown,6,1,0,Groceries,South
REAL0000224,2024-01-10 07:00:00,20240110,7,7,Google Pay,4,4,P2M,15.98,Web,Success,Unknown,7,1,0,Utilities,East
REAL0000225,2024-01-10 08:00:00,20240110,5,9,Paytm,5,5,P2P,13.42,POS,Success,Unknown,8,1,0,Food & Dining,South
REAL0000226,2024-01-10 09:00:00,20240110,7,5,BHIM,6,6,P2M,16.27,Mobile,Success,Unknown,9,1,0,Healthcare,West
REAL0000227,2024-01-10 10:00:00,20240110,10,10,Amazon Pay,7,7,P2P,10.09,Web,Success,Unknown,10,1,0,Education,North
REAL0000228,2024-01-10 11:00:00,20240110,5,8,MobiKwik,8,8,P2M,20.45,POS,Success,Unknown,11,1,0,Entertainment,South
REAL0000229,2024-01-10 12:00:00,20240110,2,7,PhonePe,9,9,P2P,13.28,Mobile,Success,Unknown,12,1,0,Transport,East
REAL0000230,2024-01-10 13:00:00,20240110,5,10,Google Pay,10,10,P2M,22.12,Web,Success,Unknown,13,1,0,Retail,Central
REAL0000231,2024-01-10 14:00:00,20240110,9,6,Paytm,1,1,P2P,24.01,POS,Success,Unknown,14,1,0,E-commerce,West
REAL0000232,2024-01-10 15:00:00,20240110,3,8,BHIM,2,2,P2M,15.69,Mobile,Success,Unknown,15,1,0,Travel,North
REAL0000233,2024-01-10 16:00:00,20240110,10,3,Amazon Pay,3,3,P2P,11.61,Web,Failed,Network Timeout,16,0,1,Groceries,South
REAL0000234,2024-01-10 17:00:00,20240110,6,10,MobiKwik,4,4,P2M,10.77,POS,Success,Unknown,17,1,0,Utilities,East
REAL0000235,2024-01-10 18:00:00,20240110,7,7,PhonePe,5,5,P2P,15.53,Mobile,Success,Unknown,18,1,0,Food & Dining,South
REAL0000236,2024-01-10 19:00:00,20240110,4,8,Google Pay,6,6,P2M,10.07,Web,Success,Unknown,19,1,0,Healthcare,West
REAL0000237,2024-01-10 20:00:00,20240110,10,5,Paytm,7,7,P2P,12.6,POS,Success,Unknown,20,1,0,Education,North
REAL0000238,2024-01-10 21:00:00,20240110,1,9,BHIM,8,8,P2M,32.83,Mobile,Success,Unknown,21,1,0,Entertainment,South
REAL0000239,2024-01-10 22:00:00,20240110,3,1,Amazon Pay,9,9,P2P,35.83,Web,Success,Unknown,22,1,0,Transport,East
REAL0000240,2024-01-10 23:00:00,20240110,5,2,MobiKwik,10,10,P2M,29.03,POS,Success,Unknown,23,1,0,Retail,Central
REAL0000241,2024-01-11 00:00:00,20240111,5,6,PhonePe,1,1,P2P,27.18,Mobile,Success,Unknown,0,1,0,E-commerce,West
REAL0000242,2024-01-11 01:00:00,20240111,5,8,Google Pay,2,2,P2M,22.67,Web,Success,Unknown,1,1,0,Travel,North
REAL0000243,2024-01-11 02:00:00,20240111,2,9,Paytm,3,3,P2P,17.82,POS,Success,Unknown,2,1,0,Groceries,South
REAL0000244,2024-01-11 03:00:00,20240111,3,5,BHIM,4,4,P2M,18.78,Mobile,Success,Unknown,3,1,0,Utilities,East
